state,county,trump votes,clinton votes,total votes,trump vote %,clinton vote %,electric vehicle %,population,voter turnout %
california,Yuba,7910,13170,21080,37.52,62.48,1.80662596336703,74952.0,28.12466645319671
california,San Benito,12521,7841,20362,61.49,38.51,2.5521443172120897,59225.0,34.380751371886866
california,Siskiyou,7234,11341,18575,38.94,61.06,1.3081607795371497,43376.0,42.823220213943195
california,Amador,6004,10485,16489,36.41,63.59,1.904346165388917,37429.0,44.054075716690264
california,Lassen,2224,7574,9798,22.7,77.3,0.7205623901581724,30721.0,31.893493050356437
california,Plumas,3459,5420,8879,38.96,61.04,0.8510191216642151,18665.0,47.570318778462365
california,Del Norte,3485,5134,8619,40.43,59.57,1.479305740987984,27382.0,31.476882623621353
california,Glenn,3065,5788,8853,34.62,65.38,0.9987655706430256,27840.0,31.79956896551724
california,Mariposa,3122,5185,8307,37.58,62.42,1.868519395757672,17456.0,47.588221814848765
california,Inyo,3155,4248,7403,42.62,57.38,1.6998761679612742,17922.0,41.30677379756724
california,Colusa,2661,3551,6212,42.84,57.16,0.9597125994354632,21496.0,28.89839970227019
california,Trinity,2214,2812,5026,44.05,55.95,1.0327892532139245,12828.0,39.17991892734643
california,Mono,2773,2111,4884,56.78,43.22,1.4152991230355128,14273.0,34.21845442443775
california,Modoc,877,2696,3573,24.55,75.45,0.8071850841291497,8961.0,39.872782055574156
california,Sierra,601,1048,1649,36.45,63.55,1.0259917920656634,2951.0,55.87936292782108
california,Alpine,334,217,551,60.62,39.38,1.2373453318335212,1047.0,52.62655205348615
colorado,Denver,244551,62690,307241,79.6,20.4,2.1003749071679745,696159.0,44.13373956237009
colorado,Jefferson,160776,138177,298953,53.78,46.22,1.7584929590033056,571413.0,52.31820067096828
colorado,El Paso,108010,179228,287238,37.6,62.4,1.3418057777643615,688277.0,41.73290695461275
colorado,Arapahoe,159885,117053,276938,57.73,42.27,1.7881905370379785,638950.0,43.34267157054543
colorado,Larimer,93113,83430,176543,52.74,47.26,2.185532130286087,338984.0,52.080039175890306
colorado,Adams,96558,80082,176640,54.66,45.34,1.2012351939725434,497734.0,35.488835402042056
colorado,Boulder,132334,41396,173730,76.17,23.83,3.8299546422290094,321250.0,54.079377431906615
colorado,Douglas,68657,102573,171230,40.1,59.9,1.9405511044250872,328219.0,52.1694356511963
colorado,Weld,46519,76651,123170,37.77,62.23,1.2778037561394606,295712.0,41.65201276918082
